generation,learning_rate,batch_size,num_epoch,optimizer,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,fitness_value,accuracy,precision,recall,f1,evaluation
0.000,0.00555,1,3,3,13,8,4,12,8,2,3,4,13,4,12,8,1,3,5,11,0.14586171454299446,0.7915876027830487,0.8113207547169812,0.5137867647058824,0.6291502532357908,0.6734838288252002
0.125,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.17253741152767285,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
0.250,0.00304,2,2,2,5,13,8,4,7,10,1,12,7,1,12,3,13,4,2,6,0.14592890066233827,0.6337760910815939,0.481578947368421,0.8409926470588235,0.6124497991967871,0.6737545409717367
0.375,0.00396,1,1,3,5,12,8,2,12,9,2,12,2,1,3,11,12,9,5,13,0.13755181880946107,0.3456672991777356,0.3446309787773202,1.0,0.512603062426384,0.6397543024076092
0.500,0.00101,1,2,2,3,12,3,12,9,4,6,1,13,7,1,12,4,2,13,5,0.13742783160654826,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
0.625,0.00319,1,3,1,6,10,4,2,4,6,10,4,8,1,7,4,9,3,13,7,0.12971654614387854,0.4402277039848197,0.3674183514774494,0.8685661764705882,0.5163934426229507,0.607496743225836
0.750,0.00538,1,2,1,9,2,9,2,3,9,4,1,5,8,3,1,9,1,12,5,0.13742783160654826,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
0.875,0.00505,2,1,1,5,12,8,10,1,4,3,11,5,2,12,9,5,12,8,4,0.13742783160654826,0.34408602150537637,0.34408602150537637,1.0,0.512,0.639247311827957
1.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.1621195937882308,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
1.125,0.00555,1,3,1,12,2,3,3,6,3,9,2,8,4,5,13,9,3,2,2,0.12936381863949073,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
1.250,0.00304,2,2,2,13,5,6,2,6,10,2,3,13,3,6,3,11,2,1,4,0.15394497523461045,0.8111954459203036,0.7229791099000908,0.7316176470588235,0.7272727272727273,0.7445097188255632
1.375,0.00577,1,3,2,6,2,5,12,3,9,2,12,2,11,3,11,4,9,5,13,0.15045657338850169,0.7770398481973435,0.6474210931485759,0.7729779411764706,0.7046501885211562,0.729845425770882
1.500,0.00739,1,1,3,13,8,4,12,8,2,2,12,2,12,3,5,12,9,5,13,0.12913584727356672,0.3437697659709045,0.3437796771130104,0.9981617647058824,0.5114198257593595,0.6382496343013816
1.625,0.00555,1,3,3,8,2,7,5,12,8,10,3,13,3,1,6,5,4,8,1,0.12936381863949073,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
1.750,0.00304,2,2,2,12,8,4,12,4,1,4,9,4,12,2,2,6,1,12,5,0.12936381863949073,0.3440860215053763,0.3440860215053763,1.0,0.512,0.639247311827957
1.875,0.00577,1,1,2,3,4,9,5,5,8,4,3,1,6,2,11,13,7,3,4,0.16050342454359698,0.7754585705249842,0.6217783505154639,0.8869485294117647,0.7310606060606062,0.7718409750207034
2.000,0.00577,1,1,2,6,2,5,12,3,5,13,8,3,2,11,13,8,3,4,13,0.1550239552294596,0.8010752688172043,0.6628814762242725,0.8584558823529411,0.7480977172607127,0.7785287175007598
