What kind of degree do you have?,What is your job?,How many job experience years do you have?,Do you have any experience in dermatology?,How much experience do you have in dermatology?,Are you a dermatologist?,How much does dermoscopic image affect melanoma diagnosis?,How much does histological image affect melanoma diagnosis?,"If only the dermoscopic image is available, how reliable is the diagnosis?","If only the histological image is available, how reliable is the diagnosis?","If I have both the histological and dermoscopic images available, how reliable is the diagnosis?",What are the problems that can be encountered when acquiring a dermoscopic image?,What are the problems that can be encountered when acquiring a histological image?,What are the useful metrics to evaluate a dermoscopic image quality?,What are the relevant dermoscopic image features on which you focus more?,What are the relevant histological image features on which you focus more?,Do you think there are other relevant issues in melanoma diagnosis that the survey did not treat?,Nationality
PhD,dermatoPathologist,10,Yes,4,No,2,5,1,4,5,"Body hair;skin type; variation between scope brightness","Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting;Poor digital scanning of glass microscopy slide",Image brightness,"Irregular shape, pigment networks","lymphovascular space invasion, melanocytic pleomorphism, atypical mitoses, apoptotic figures",does not specify glass slide versus digital slide histology assessment,United Kingdom
Master in Medicine,Doctor,6,Yes,4,Yes,4,5,3,5,5,Little lighting;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Image brightness,"Image brightness, visual features","Histological details, anatomy, structure and role of the tissue",,Italy
Bachelor of Medicine,Doctor,1,Yes,2,No,4,5,3,4,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"Irregular shape, colour, asymmetry","nests of melanocytes (variable size and shape), melanocytes within lymphovascular spaces",,Spain
PhD,Cancer research on melanoma,5,Yes,3,No,5,5,3,4,5,Body hair;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Signal-to-noise ratio (SNR),"sharp demarcation, pigment networks, follicular/epidermal pattern, vascular pattern","asymmetry, cytological atypia, consumption of the epidermis, pagetoid spread of melanocytes, nests of melanocytes (variable size and shape), melanocytes within lymphovascular spaces, deep and atypical mitoses and increased apoptosis",,Italy
Bachelor of Medicine,Doctor,6,Yes,4,No,4,5,3,3,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,Skin moles,Skin moles,,South Africa
Master in Medicine,Doctor,5,Yes,3,No,5,5,3,4,5,Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),"ABCDE principles, asymmetry, boundary irregularities, colour, diameter, evolving","deep of cut, borders, design of the cells",,Portugal
Bachelor of Medicine,Doctor,2,Yes,2,No,3,3,4,4,4,Little lighting;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,visualization of subsurface skin structures in the epidermis,Tissues,,South Africa
Master in Medicine,Doctor,4,Yes,3,Yes,4,4,3,4,4,Patient movement,Poor tissue preparation,Image brightness,,,,Portugal
Bachelor of Medicine,Doctor,13,Yes,5,Yes,5,4,4,3,5,Little lighting;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,"area, minor axis length","image segmentation, architectural pattern",,Canada
PhD,Dermatologist resident,Yes,Yes,4,Yes,3,4,3,4,4,Little lighting;Patient movement;Incorrect angle of the dermatoscope;Insufficient contact with the skin,Poor tissue preparation;Non-uniform cutting,Image brightness,Contrast,Sufficient tissue samples,,Netherlands
