What kind of degree do you have?,What is your job?,How many job experience years do you have? ,Do you have any experience in dermatology?,How much experience do you have in dermatology?,Are you a dermatologist?,How much does dermoscopic image affect melanoma diagnosis?,How much does histological image affect melanoma diagnosis?  ,"If only the dermoscopic image is available, how reliable is the diagnosis? ","If only the histological image is available, how reliable is the diagnosis? ","If I have both the histological and dermoscopic images available, how reliable is the diagnosis? ",What are the problems that can be encountered when acquiring a dermoscopic image?,What are the problems that can be encountered when acquiring a histological image?,What are the useful metrics to evaluate a dermoscopic image quality? ,What are the relevant dermoscopic image features on which you focus more? ,What are the relevant histological image features on which you focus more? ,Do you think there are other relevant issues in melanoma diagnosis that the survey did not treat? ,Nationality
PhD,dermatoPathologist,10,Yes,4,No,2,5,1,4,5,"Body hair;skin type, variation between scope brightness","Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting;Poor digital scanning of glass microscopy slide",Image brightness,"irregularity, pigment networks","lymphovascular space invasion, melanocytic pleomorphism, atypical mitoses, apoptotic figures",does not specify glass slide versus digital slide histology assessment,United Kingdom
Master in Medicine,Doctor,6,Yes,4,Yes,4,5,3,5,5,Little lighting;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Image brightness,"Image brightness, visual features","Histological details, anatomy, structure and role of the tissue",,Italy
Bachelor of Medicine,Doctor,1,Yes,2,No,4,5,3,4,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"Irregular shape, different colors, assymetry","Nests of melanocytes, melanocytes within lymphovascular spaces",,Spain
PhD,Cancer research on melanoma ,5,Yes,3,No,5,5,3,4,5,Body hair;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Signal-to-noise ratio (SNR),"sharp demarcation, pigment pattern, follicular/epidermal pattern and vascular pattern","asymmetry, cytological atypia, consumption of the epidermis, pagetoid spread of melanocytes, nests of melanocytes with variable size and shape, melanocytes within lymphovascular spaces, deep and atypical mitoses and increased apoptosis",,Italy
Bachelor of Medicine,Doctor,6,Yes,4,No,4,5,3,3,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,Skin moles ,Skin moles ,,South Africa
Master in Medicine,Doctor,5,Yes,3,No,5,5,3,4,5,Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),"approach ABCDE - assimetry, borders, colour, diameter and evolving","deep of cut, borders, design of the cells",,Portugal
Bachelor of Medicine,Doctor ,2,Yes,2,No,3,3,4,4,4,Little lighting;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,visualization of subsurface skin structures in the epidermis,Tissues,,South Africa
Master in Medicine,Doctor,4,Yes,3,Yes,4,4,3,4,4,Patient movement,Poor tissue preparation,Image brightness,angle of the dermatoscope,angle of the dermatoscope,,Portugal
Bachelor of Medicine,Doctor,13,Yes,5,Yes,5,4,4,3,5,Little lighting;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,"area, minor axis length","image segmentation, architectural pattern",,Canada
PhD,Dermatologist resident,Yes,Yes,4,Yes,3,4,3,4,4,Little lighting;Patient movement;Incorrect angle of the dermatoscope;Insufficient contact with the skin,Poor tissue preparation;Non-uniform cutting,Image brightness,Contrast,Sufficient tissue samples,,Netherlands
Bachelor of Medicine,Doctor,25,Yes,2,No,4,4,4,4,4,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,Body Hair,Noise in the tissue,,United States
Master in Medicine,Dermatologist resident,4,Yes,4,Yes,4,5,3,4,5,Little lighting;Body hair;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),ABCDE principles,Asymmetry,,Portugal
Master in Medicine,Doctor ,1,Yes,3,No,4,4,4,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),"Color, perimeter",Color ,,Mexico
Master in Medicine,CMO,16,Yes,5,Yes,4,4,3,4,4,"Body hair;product remnents, lack of  contrast",Poor tissue preparation;Non-uniform cutting;artifacts,not brightness but contrast between subject and background,"generalized structure, pigmentation, and vascularization","cell structure/type, inflammation, detectible clark level",,United States
Master in Medicine,Dermatologist,3,Yes,4,Yes,5,5,4,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting;Not obtaining an usable sample, poor margins. ",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"When looking for a melanoma, I focus on the pigmentation of the lesion, the absence of pattern symmetry, color uniformity. Then I look for specific signs: blue-white veil, multiple brown dots, pseudopods, radial streaming, scarlike depigmentation, peripheral block dots/globules, 5 to 6 colors,... ","Absence/consumption of epidermis, spread of melanocytes with diferent size and shape, apoptosis and mitosis rate. ",Patient history,Portugal
Bachelor of Medicine,Doctor,2,Yes,3,Yes,3,5,3,4,5,Body hair;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Image brightness,"Assymetry, border irregularities, evolution of changes over time if available.","Epidermal changes, atypia, mitotic activity, nuclei aspect.",,Mexico
Bachelor of Medicine,Doctor,6,Yes,1,No,2,4,2,4,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR),"Colour, boundary, symmetry, raised or not",Nests of melanocytes of various sizes in epidermis,,United Kingdom
Bachelor of Medicine,Medical Laboratory Scientist,10,Yes,3,No,3,3,4,3,3,Body hair,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Contrast-to-noise ratio (CNR);Image brightness,The pigmen,Pigment,,United Kingdom
Master in Medicine,Doctor,5,Yes,2,No,4,3,3,4,5,Little lighting;Body hair;Incorrect angle of the dermatoscope,Poor tissue preparation;Non-uniform cutting,Contrast-to-noise ratio (CNR);Image brightness,Brightness and sharpness of the image for adequate display of details,Usually done together with supervisor,Melanoma of the eye,Netherlands
Master in Medicine,Dermatologist,9,Yes,5,Yes,4,3,3,2,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Signal-to-noise ratio (SNR);Contrast-to-noise ratio (CNR);Image brightness,"Colors of the lesions, size of the lesions","Structure of the epidermis and dermis, spongiosis, signs of rubbing",,United States
Biomedical science,Physician associate,2,Yes,4,No,3,5,3,5,5,Little lighting;Body hair;Patient movement,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...)",Contrast-to-noise ratio (CNR),"7 point checklist, asymmetry, pigmentation, ulceration, vascular morphology.","Presence of ulceration, Breslow thickness, surgical margins",,United Kingdom
Bachelor of Medicine,Doctor,20,Yes,3,No,4,5,4,4,5,Little lighting;Incorrect angle of the dermatoscope,"Poor tissue preparation;Noise in the tissue (air bubbles, crease, ...);Non-uniform cutting",Contrast-to-noise ratio (CNR),tissue of interest and surrounding changes,any changes not normal for that tissue,,Canada
Bachelor of Medicine,Doctor ,General medicina consultation,Yes,2,No,5,5,3,5,5,Incorrect angle of the dermatoscope,Poor tissue preparation,Signal-to-noise ratio (SNR),Color,Cells type,Age,Mexico
Bachelor of Medicine,Unemployed,3,Yes,1,No,4,5,3,5,5,Little lighting;Body hair;Patient movement;Incorrect angle of the dermatoscope,Poor tissue preparation;Not enough sample,Image brightness,"Growth, asimmetry, color, elevation",Atypical melanocytes proliferation,,Mexico
